id_sus,uf,municipio,slug
520005,go,abadia-de-goias,go-abadia-de-goias
310010,mg,abadia-dos-dourados,mg-abadia-dos-dourados
520010,go,abadiania,go-abadiania
310020,mg,abaete,mg-abaete
150010,pa,abaetetuba,pa-abaetetuba
230010,ce,abaiara,ce-abaiara
290010,ba,abaira,ba-abaira
290020,ba,abare,ba-abare
410010,pr,abatia,pr-abatia
420005,sc,abdon-batista,sc-abdon-batista
420010,sc,abelardo-luz,sc-abelardo-luz
150013,pa,abel-figueiredo,pa-abel-figueiredo
310030,mg,abre-campo,mg-abre-campo
260005,pe,abreu-e-lima,pe-abreu-e-lima
170025,to,abreulandia,to-abreulandia
310040,mg,acaiaca,mg-acaiaca
210005,ma,acailandia,ma-acailandia
290030,ba,acajutiba,ba-acajutiba
150020,pa,acara,pa-acara
230015,ce,acarape,ce-acarape
230020,ce,acarau,ce-acarau
240010,rn,acari,rn-acari
220005,pi,acaua,pi-acaua
430003,rs,acegua,rs-acegua
230030,ce,acopiara,ce-acopiara
510010,mt,acorizal,mt-acorizal
120001,ac,acrelandia,ac-acrelandia
520013,go,acreuna,go-acreuna
240020,rn,acu,rn-acu
310050,mg,acucena,mg-acucena
350010,sp,adamantina,sp-adamantina
520015,go,adelandia,go-adelandia
350020,sp,adolfo,sp-adolfo
410020,pr,adrianopolis,pr-adrianopolis
290035,ba,adustina,ba-adustina
260010,pe,afogados-da-ingazeira,pe-afogados-da-ingazeira
240030,rn,afonso-bezerra,rn-afonso-bezerra
320010,es,afonso-claudio,es-afonso-claudio
210010,ma,afonso-cunha,ma-afonso-cunha
260020,pe,afranio,pe-afranio
150030,pa,afua,pa-afua
260030,pe,agrestina,pe-agrestina
220010,pi,agricolandia,pi-agricolandia
420020,sc,agrolandia,sc-agrolandia
420030,sc,agronomica,sc-agronomica
150034,pa,agua-azul-do-norte,pa-agua-azul-do-norte
510020,mt,agua-boa,mt-agua-boa
310060,mg,agua-boa,mg-agua-boa
250010,pb,agua-branca,pb-agua-branca
270010,al,agua-branca,al-agua-branca
220020,pi,agua-branca,pi-agua-branca
500020,ms,agua-clara,ms-agua-clara
310070,mg,agua-comprida,mg-agua-comprida
420040,sc,agua-doce,sc-agua-doce
210015,ma,agua-doce-do-maranhao,ma-agua-doce-do-maranhao
320016,es,agua-doce-do-norte,es-agua-doce-do-norte
290040,ba,agua-fria,ba-agua-fria
520017,go,agua-fria-de-goias,go-agua-fria-de-goias
350030,sp,aguai,sp-aguai
520020,go,agua-limpa,go-agua-limpa
310080,mg,aguanil,mg-aguanil
240040,rn,agua-nova,rn-agua-nova
260040,pe,agua-preta,pe-agua-preta
430005,rs,agua-santa,rs-agua-santa
260050,pe,aguas-belas,pe-aguas-belas
350040,sp,aguas-da-prata,sp-aguas-da-prata
420050,sc,aguas-de-chapeco,sc-aguas-de-chapeco
350050,sp,aguas-de-lindoia,sp-aguas-de-lindoia
350055,sp,aguas-de-santa-barbara,sp-aguas-de-santa-barbara
